target_uid,name,mandate_start,mandate_end,sycomore_fid,source_url,retrieved
PA842183,Benoît Blanchard,2025-11-13,,20047,https://www2.assemblee-nationale.fr/sycomore/fiche/20047,2026-09-13
PA842187,Gabrielle Cathala,2024-07-08,,19909,https://www2.assemblee-nationale.fr/sycomore/fiche/19909,2026-09-13
PA842195,Romain Eskenazi,2024-07-08,,19926,https://www2.assemblee-nationale.fr/sycomore/fiche/19926,2026-09-13
PA842211,Béatrice Bellay,2024-07-08,,19894,https://www2.assemblee-nationale.fr/sycomore/fiche/19894,2026-09-13
PA842227,Joseph Rivière,2024-07-08,,19993,https://www2.assemblee-nationale.fr/sycomore/fiche/19993,2026-09-13
PA842255,Anne Sicard,2024-07-08,,20003,https://www2.assemblee-nationale.fr/sycomore/fiche/20003,2026-09-13
PA842263,Ayda Hadizadeh,2024-07-08,,19942,https://www2.assemblee-nationale.fr/sycomore/fiche/19942,2026-09-13
PA842271,Emmanuel Maurel,2024-07-08,,19974,https://www2.assemblee-nationale.fr/sycomore/fiche/19974,2026-09-13
PA842279,Anchya Bamana,2024-07-08,,19891,https://www2.assemblee-nationale.fr/sycomore/fiche/19891,2026-09-13
PA842299,Emmanuel Tjibaou,2024-07-08,,20010,https://www2.assemblee-nationale.fr/sycomore/fiche/20010,2026-09-13
PA842311,Vincent Caure,2024-07-08,,19910,https://www2.assemblee-nationale.fr/sycomore/fiche/19910,2026-09-13
PA857021,Alim Latrèche,2026-03-27,,20061,https://www2.assemblee-nationale.fr/sycomore/fiche/20061,2026-09-13
PA870009,Lionel Duparay,2025-11-13,,20050,https://www2.assemblee-nationale.fr/sycomore/fiche/20050,2026-09-13
PA878242,Antoine Valentin,2026-02-02,,20057,https://www2.assemblee-nationale.fr/sycomore/fiche/20057,2026-09-13
PA879389,Marie-Philippe Lubet,2026-02-27,,20058,https://www2.assemblee-nationale.fr/sycomore/fiche/20058,2026-09-13
PA942,Charles de Courson,2024-07-08,,2031,https://www2.assemblee-nationale.fr/sycomore/fiche/2031,2026-09-13
