article_id,title_group
2344820,1
2591423,1
2685925,1
4462011,1
595583,1
2347714,2
2607368,2
2353504,3
2788692,3
1213283,4
2357175,4
2359795,5
9706,5
2400574,6
2950830,6
2401638,7
588729,7
2405394,8
2934869,8
4602768,9
4703043,9
4706895,9
167713,10
2625134,10
204699,11
4868360,11
208478,12
4868264,12
231907,13
2602868,13
232333,14
2602884,14
232361,15
2602875,15
234707,16
2602071,16
245495,17
4867146,17
1242090,18
473394,18
141874,19
172406,19
1674970,20
181316,20
2886863,21
578546,21
2886473,22
578578,22
2885378,23
579156,23
2883676,24
580176,24
1717974,25
2877850,25
582928,25
584853,26
594061,26
2887125,27
597995,27
1606483,28
2892817,28
1623565,29
2894905,29
2852451,30
2894982,30
1791310,31
1794538,31
1794547,32
1882982,32
1783409,33
1798052,33
1688275,34
1801601,34
1837246,34
4575539,35
4627712,35
1911844,36
2666241,36
244480,37
25241,37
1490364,38
4372826,38
1420787,39
2597421,39
1892119,40
945101,40
12917,41
1666484,41
1638170,42
2781007,42
1884059,43
1933271,43
2887950,44
2913922,44
4873400,44
905802,44
1229994,45
2724016,45
4376427,45
2792554,46
594019,46
4610384,47
4621943,47
1224434,48
1748871,48
2607443,49
2707120,49
2608063,50
2708869,50
1744974,51
2709915,51
1165974,52
2614961,52
2717041,52
1664064,53
1668015,53
1193388,54
1735820,54
1077924,55
4719350,55
1238274,56
4719411,56
4717326,57
4867154,57
2886001,58
4872970,58
2893468,59
4874271,59
2897201,60
4875548,60
